|I|,|J|,r_1,r_2,MILP_status,MILP_incumbent_objective,MILP_best_bound,MILP_final_optimality_gap,MILP_time,Benders_status,Benders_incumbent_objective,Benders_best_bound,Benders_final_optimality_gap,Benders_time
20,5000,4,8,Optimal,8,8,0,196.4898965,Optimal,8,8,0,6.75641942
20,5000,4,8,Optimal,5,5,0,31.81821823,Optimal,5,5,0,0.868280888
20,5000,4,8,Optimal,7,7,0,192.3312268,Optimal,7,7,0,4.354029417
20,5000,4,8,Optimal,8,8,0,235.6617756,Optimal,8,8,0,7.061661005
20,5000,4,8,Optimal,10,10,0,114.3063769,Optimal,10,10,0,5.397524834
20,10000,4,8,Optimal,8,8,0,475.8903644,Optimal,8,8,0,6.424252748
20,10000,4,8,Optimal,5,5,0,113.7232318,Optimal,5,5,0,0.986535549
20,10000,4,8,Optimal,7,7,0,790.579093,Optimal,7,7,0,4.367979288
20,10000,4,8,Optimal,8,8,0,988.3977382,Optimal,8,8,0,5.925928116
20,10000,4,8,Optimal,10,10,0,435.8100972,Optimal,10,10,0,8.653150797
20,20000,4,8,Optimal,9,9,0,3420.141604,Optimal,9,9,0,9.107645035
20,20000,4,8,Optimal,5,5,0,360.7051244,Optimal,5,5,0,1.086414814
20,20000,4,8,Optimal,7,7,0,2628.318347,Optimal,7,7,0,6.782769442
20,20000,4,8,Optimal,8,8,0,3509.107751,Optimal,8,8,0,9.345304966
20,20000,4,8,Optimal,10,10,0,1441.436666,Optimal,10,10,0,8.025486469
20,30000,4,8,TimeLimit,20,7,0.65,3600.131871,Optimal,9,9,0,12.32610655
20,30000,4,8,Optimal,5,5,0,1017.291346,Optimal,5,5,0,1.616788864
20,30000,4,8,TimeLimit,20,5,0.75,3600.063199,Optimal,7,7,0,7.26574254
20,30000,4,8,TimeLimit,20,7,0.65,3600.103417,Optimal,8,8,0,8.279909849
20,30000,4,8,Optimal,10,10,0,2573.03546,Optimal,10,10,0,11.37468982
20,50000,4,8,TimeLimit,20,6,0.7,3600.138441,Optimal,8,8,0,8.131127357
20,50000,4,8,Optimal,5,5,0,3180.007703,Optimal,5,5,0,1.748146534
20,50000,4,8,TimeLimit,20,4,0.8,3600.14602,Optimal,7,7,0,7.177874088
20,50000,4,8,TimeLimit,20,4,0.8,3600.198008,Optimal,8,8,0,8.392443657
20,50000,4,8,TimeLimit,20,7,0.65,3600.205874,Optimal,10,10,0,10.27811503
25,5000,4,8,Optimal,9,9,0,413.7576392,Optimal,9,9,0,12.65034676
25,5000,4,8,Optimal,7,7,0,286.0893252,Optimal,7,7,0,5.97208643
25,5000,4,8,Optimal,9,9,0,872.696734,Optimal,9,9,0,22.95163298
25,5000,4,8,Optimal,8,8,0,446.111449,Optimal,8,8,0,12.89758325
25,5000,4,8,Optimal,11,11,0,912.4760497,Optimal,11,11,0,32.76768279
25,10000,4,8,Optimal,9,9,0,2081.445278,Optimal,9,9,0,14.44748187
25,10000,4,8,Optimal,7,7,0,740.8698335,Optimal,7,7,0,4.707956076
25,10000,4,8,TimeLimit,25,9,0.64,3600.036588,Optimal,9,9,0,30.56722856
25,10000,4,8,Optimal,9,9,0,1800.638026,Optimal,9,9,0,15.85839677
25,10000,4,8,Optimal,10,10,0,1230.272965,Optimal,10,10,0,16.70300078
25,20000,4,8,TimeLimit,25,8,0.68,3600.057113,Optimal,9,9,0,17.55814099
25,20000,4,8,TimeLimit,25,7,0.72,3600.083504,Optimal,7,7,0,5.164762974
25,20000,4,8,TimeLimit,25,7,0.72,3600.078195,Optimal,9,9,0,32.58436131
25,20000,4,8,TimeLimit,25,7,0.72,3600.135119,Optimal,9,9,0,16.08007145
