I,J,r1,r2,seed,beta,bigM,bigM_name,status,solved,obj,bound,gap,time,outer_iters,follower_solves,vf_cuts,avg_outer_time,master_time,follower_time,outer_overhead_time,benders_cuts,bb_nodes,callback_time,separation_time,cut_submit_time,remaining_bb_time
20,20000,4,8,0,0.7,1,Global,Optimal,1,9,9,0,21.39641,193,193,192,0.110862,1.843206,19.32318,0.230024,8350,632,6.344825,5.951432,0.393393,12.97836
20,20000,4,8,0,0.7,2,No-good,Optimal,1,9,9,0,20.51665,193,193,192,0.106304,1.732105,18.59606,0.18849,8350,632,6.150957,5.774722,0.376235,12.4451
20,20000,4,8,0,0.7,3,Critical,Optimal,1,9,9,0,8.324361,91,91,90,0.091476,0.583063,7.64616,0.095138,3599,384,2.659065,2.499283,0.159781,4.987096
20,20000,4,8,1,0.7,1,Global,Optimal,1,5,5,0,2.67304,33,33,32,0.081001,0.096271,2.550737,0.026032,1100,563,0.954961,0.894948,0.060013,1.595775
20,20000,4,8,1,0.7,2,No-good,Optimal,1,5,5,0,2.712071,33,33,32,0.082184,0.044464,2.643025,0.024582,1100,563,0.961895,0.903405,0.05849,1.68113
20,20000,4,8,1,0.7,3,Critical,Optimal,1,5,5,0,1.189699,15,15,14,0.079313,0.013335,1.16221,0.014154,522,563,0.442278,0.413878,0.0284,0.719932
20,20000,4,8,2,0.7,1,Global,Optimal,1,7,7,0,11.80872,88,88,87,0.13419,0.294431,11.43255,0.081742,4169,672,3.31018,3.108962,0.201218,8.122367
20,20000,4,8,2,0.7,2,No-good,Optimal,1,7,7,0,11.40428,88,88,87,0.129594,0.278174,11.05308,0.07302,4169,672,3.211964,3.026857,0.185107,7.841118
20,20000,4,8,2,0.7,3,Critical,Optimal,1,7,7,0,5.842258,49,49,48,0.11923,0.092499,5.706839,0.04292,2399,660,1.779238,1.675414,0.103824,3.927601
25,20000,4,8,0,0.7,1,Global,Optimal,1,9,9,0,71.75162,372,372,371,0.192881,9.539311,61.83445,0.377858,33353,3240,26.87354,25.28149,1.592048,34.96091
25,20000,4,8,0,0.7,2,No-good,Optimal,1,9,9,0,72.07556,372,372,371,0.193752,9.534676,62.18225,0.358639,33353,3240,26.88356,25.29157,1.591986,35.29869
25,20000,4,8,0,0.7,3,Critical,Optimal,1,9,9,0,15.23878,74,74,73,0.205929,0.598779,14.56409,0.075916,7988,2630,6.312409,5.924048,0.388361,8.251677
25,20000,4,8,1,0.7,1,Global,Optimal,1,7,7,0,33.62683,222,222,221,0.151472,1.675457,31.75428,0.197088,17036,2876,13.467,12.64071,0.826287,18.28728
25,20000,4,8,1,0.7,2,No-good,Optimal,1,7,7,0,35.3281,222,222,221,0.159136,1.781207,33.34471,0.202177,17036,2876,14.01081,13.13611,0.874694,19.33391
25,20000,4,8,1,0.7,3,Critical,Optimal,1,7,7,0,4.58889,31,31,30,0.148029,0.083386,4.474939,0.030565,2516,2583,1.979004,1.854798,0.124206,2.495935
25,20000,4,8,2,0.7,1,Global,Optimal,1,9,9,0,104.897,336,336,335,0.312194,6.033175,98.51577,0.348087,56259,5180,45.79971,43.00899,2.790721,52.71605
25,20000,4,8,2,0.7,2,No-good,Optimal,1,9,9,0,104.645,336,336,335,0.311443,5.865566,98.451,0.328416,56259,5180,45.81896,43.04723,2.77173,52.63204
25,20000,4,8,2,0.7,3,Critical,Optimal,1,9,9,0,29.45357,81,81,80,0.363624,0.392311,28.97164,0.089616,17869,4155,13.92646,13.07603,0.850435,15.04518
35,10000,4,8,0,0.7,1,Global,TimeLimit,0,35,6,0.828571429,3600.05749,164,164,163,21.95157006,1.822475672,3597.236374,0.998641014,299934,129301,200.5218752,177.5626308,22.95924432,3396.714498
35,10000,4,8,0,0.7,2,No-good,TimeLimit,0,35,6,0.828571429,3600.039626,164,164,163,21.95146113,1.823578835,3597.250262,0.965784788,299909,129301,200.6487194,177.3108186,23.33790075,3396.601543
35,10000,4,8,0,0.7,3,Critical,Optimal,1,13,13,0,1341.343289,209,209,208,6.417910475,17.52739358,1322.597346,1.218549967,269895,104393,170.7264567,150.4273418,20.29911487,1151.870889
35,10000,4,8,1,0.7,1,Global,TimeLimit,0,35,6,0.828571429,3600.051017,181,181,180,19.88978462,1.780024052,3597.118499,1.152494192,365466,83261,233.8606671,205.846519,28.01414813,3363.257831
35,10000,4,8,1,0.7,2,No-good,TimeLimit,0,35,6,0.828571429,3600.045656,181,181,180,19.88975501,1.795235634,3597.075833,1.174587965,365326,83261,233.9817009,205.8952142,28.08648669,3363.094132
35,10000,4,8,1,0.7,3,Critical,Optimal,1,11,11,0,745.6872594,101,101,100,7.383042173,4.017127514,741.0373175,0.632814407,153109,79404,95.74613297,83.91250379,11.83362918,645.2911845
35,10000,4,8,2,0.7,1,Global,TimeLimit,0,35,5,0.857142857,3600.010733,163,163,162,22.08595542,1.276195765,3597.67077,1.063767433,327443,101303,210.5737681,185.5334579,25.04031013,3387.097002
35,10000,4,8,2,0.7,2,No-good,TimeLimit,0,35,5,0.857142857,3600.019247,163,163,162,22.08600765,1.264011621,3597.722272,1.032963037,327969,101303,210.7462417,185.6187687,25.12747301,3386.976031
35,10000,4,8,2,0.7,3,Critical,Optimal,1,10,10,0,1163.493112,92,92,91,12.64666426,2.662104607,1160.248636,0.58237052,169034,72342,106.3472408,93.29862866,13.04861216,1053.901396
