|I|,|J|,r_1,r_2,inst.,status,incumbent_objective,best_bound,final_optimality_gap,time,total_cuts,generated_degeneracy_cuts,submitted_degeneracy_cuts/generated_degeneracy_cuts,B&B_nodes,separation_time/time
20,5000,4,8,1,Optimal,8,8,0,6.583862,6470,3052,1,453,0.153303
,,,,2,Optimal,5,5,0,0.871532,954,445,1,480,0.173614
,,,,3,Optimal,7,7,0,3.895429,3988,1910,1,838,0.162449
,,,,4,Optimal,8,8,0,6.13393,6410,3057,1,568,0.165278
,,,,5,Optimal,10,10,0,4.546108,4977,2250,1,365,0.162324
20,10000,4,8,1,Optimal,8,8,0,5.972677,5522,2611,1,401,0.221073
,,,,2,Optimal,5,5,0,0.909256,968,450,1,599,0.253844
,,,,3,Optimal,7,7,0,5.460731,4560,2192,1,997,0.20471
,,,,4,Optimal,8,8,0,5.756774,5762,2757,1,718,0.245501
,,,,5,Optimal,10,10,0,7.08419,6347,2870,1,240,0.209797
20,20000,4,8,1,Optimal,9,9,0,10.26754,8164,3860,1,416,0.325302
,,,,2,Optimal,5,5,0,1.226849,928,434,1,631,0.310663
,,,,3,Optimal,7,7,0,5.030272,3304,1582,1,861,0.278891
,,,,4,Optimal,8,8,0,7.602499,6506,3101,1,589,0.357969
,,,,5,Optimal,10,10,0,8.301315,6264,2816,1,265,0.295473
20,30000,4,8,1,Optimal,9,9,0,9.486913,6542,3088,1,374,0.391837
,,,,2,Optimal,5,5,0,1.468776,1102,513,1,574,0.440469
,,,,3,Optimal,7,7,0,5.693389,3388,1624,1,718,0.375202
,,,,4,Optimal,8,8,0,7.862951,5682,2709,1,567,0.42008
,,,,5,Optimal,10,10,0,8.055324,5462,2462,1,215,0.374092
20,50000,4,8,1,Optimal,8,8,0,8.415306,4846,2287,1,384,0.522275
,,,,2,Optimal,5,5,0,1.580422,920,430,1,649,0.532242
,,,,3,Optimal,7,7,0,6.902213,3190,1525,1,737,0.443995
,,,,4,Optimal,8,8,0,8.588817,4872,2312,1,588,0.534782
,,,,5,Optimal,10,10,0,9.973341,5515,2477,1,242,0.48064
25,5000,4,8,1,Optimal,9,9,0,10.88403,15484,7586,1,2978,0.242037
,,,,2,Optimal,7,7,0,6.117214,8704,4258,1,3618,0.240568
,,,,3,Optimal,9,9,0,16.03967,27000,13356,1,3919,0.292451
,,,,4,Optimal,8,8,0,11.7895,18834,9303,1,4521,0.286165
,,,,5,Optimal,11,11,0,38.14767,37826,18557,1,3163,0.166742
25,10000,4,8,1,Optimal,9,9,0,10.20432,13202,6463,1,2468,0.347115
,,,,2,Optimal,7,7,0,4.343489,5016,2438,1,2592,0.304254
,,,,3,Optimal,9,9,0,27.43099,37650,18635,1,4145,0.370884
,,,,4,Optimal,9,9,0,11.47031,15382,7609,1,4917,0.368377
,,,,5,Optimal,10,10,0,16.20706,17280,8482,1,3549,0.28126
25,20000,4,8,1,Optimal,9,9,0,17.7508,16934,8295,1,2826,0.43643
,,,,2,Optimal,7,7,0,7.876417,7246,3533,1,3542,0.416558
,,,,3,Optimal,9,9,0,29.97031,33636,16656,1,4095,0.521242
,,,,4,Optimal,9,9,0,18.96413,19042,9413,1,4777,0.470065
,,,,5,Optimal,10,10,0,21.78567,18784,9218,1,3407,0.38826
25,30000,4,8,1,Optimal,9,9,0,16.00986,12970,6347,1,2325,0.522435
,,,,2,Optimal,7,7,0,5.450103,4562,2223,1,3418,0.537912
,,,,3,Optimal,9,9,0,39.16425,34766,17197,1,3653,0.58212
,,,,4,Optimal,9,9,0,32.56407,26846,13285,1,5340,0.549052
,,,,5,Optimal,11,11,0,34.42879,23640,11586,1,4328,0.435692
25,50000,4,8,1,Optimal,9,9,0,18.71833,11770,5765,1,2698,0.656395
,,,,2,Optimal,7,7,0,10.21143,6182,3015,1,2822,0.633455
,,,,3,Optimal,9,9,0,35.02731,22252,11006,1,4391,0.67724
,,,,4,Optimal,9,9,0,30.42972,19054,9423,1,5602,0.675644
,,,,5,Optimal,11,11,0,40.98456,21682,10623,1,3406,0.544555
35,5000,4,8,1,Optimal,13,13,0,2004.739,472744,235934,1,90722,0.062334
,,,,2,Optimal,11,11,0,1572.799,326522,162997,1,84701,0.055204
,,,,3,Optimal,10,10,0,1416.269,270524,135050,1,63276,0.050486
,,,,4,TimeLimit,35,8,0.771429,3600.09,293782,146755,1,115529,0.022054
,,,,5,Optimal,10,10,0,1317.542,232984,116280,1,68741,0.046867
35,10000,4,8,1,Optimal,13,13,0,2179.155,417426,208351,1,83123,0.078612
,,,,2,Optimal,11,11,0,1277.297,275532,137534,1,62764,0.087479
,,,,3,Optimal,10,10,0,2091.838,311172,155382,1,68761,0.060469
,,,,4,TimeLimit,35,7,0.8,3600.052,243166,121489,1,129145,0.028472
,,,,5,Optimal,11,11,0,2070.74,374186,186773,1,67196,0.073692
35,20000,4,8,1,Optimal,13,13,0,2051.533,392350,195817,1,98832,0.133093
,,,,2,Optimal,11,11,0,1536.824,316414,157957,1,68620,0.140829
,,,,3,Optimal,10,10,0,2698.149,396316,197908,1,76397,0.099947
,,,,4,TimeLimit,35,7,0.8,3600.27,207978,103923,1,135100,0.041591
,,,,5,Optimal,11,11,0,1676.768,261006,130277,1,67021,0.108694
