I,J,r1,r2,seed,beta,status,solved,obj,bound,gap,time,outer_iters,follower_solves,vf_cuts,benders_cuts,bb_nodes,separation_calls,separation_time,avg_sep_time_per_call,avg_sep_time_per_cut,cut_submit_time,callback_time,remaining_bb_time,master_time,follower_time,outer_overhead_time
35,100000,4,8,0,0.7,Optimal,1,13,13,0,2550.151348,209,209,208,278938,86866,281085,1353.758406,0.004816189,0.004853259,21.03184889,1374.790255,1152.696347,20.88093877,2527.486602,1.783807516
35,100000,4,8,1,0.7,Optimal,1,11,11,0,1547.995397,108,108,107,169210,68528,170425,803.459218,0.004714445,0.004748296,13.11820719,816.5774252,726.0029173,4.458202362,1542.580343,0.956852436
35,100000,4,8,2,0.7,Optimal,1,10,10,0,2602.820608,125,125,124,241078,87632,242410,1154.313792,0.004761824,0.004788134,18.55543477,1172.869227,1423.818318,4.946947813,2596.687545,1.186115503
35,150000,4,8,0,0.7,Optimal,1,13,13,0,2284.677304,144,144,143,191498,93075,193004,1385.629356,0.007179278,0.007235738,14.50524036,1400.134597,873.2544138,9.875824451,2273.38901,1.41246891
35,150000,4,8,1,0.7,Optimal,1,11,11,0,2156.344928,120,120,119,189944,82712,191195,1338.154673,0.0069989,0.007044996,14.71182627,1352.8665,797.0922034,5.224419117,2149.958703,1.16180563
35,150000,4,8,2,0.7,Optimal,1,10,10,0,2967.384314,121,121,120,228937,68082,230136,1621.873211,0.007047455,0.007084365,17.86509608,1639.738307,1321.624489,4.744422197,2961.362796,1.277096272
35,200000,4,8,0,0.7,TimeLimit,0,35,13,0.628571429,3600.034198,174,174,173,243796,89843,245770,2346.527917,0.009547658,0.009624965,18.80332085,2365.331238,1218.002081,14.83473587,3583.333318,1.866143465
35,200000,4,8,1,0.7,Optimal,1,11,11,0,1771.658069,84,84,83,127826,81485,128723,1197.681687,0.009304333,0.009369625,9.903625803,1207.585313,560.5653837,2.565918207,1768.150697,0.941453695
35,200000,4,8,2,0.7,Optimal,1,10,10,0,2915.108531,95,95,94,183380,86650,184358,1729.465092,0.009381015,0.009431045,14.33628017,1743.801372,1166.811851,3.324587345,2910.613223,1.170720339
35,250000,4,8,0,0.7,TimeLimit,0,35,13,0.628571429,3600.132846,163,163,162,216620,88675,218402,2616.381844,0.011979661,0.01207821,16.55133723,2632.933181,953.2256077,12.03357315,3586.158789,1.94048357
35,250000,4,8,1,0.7,Optimal,1,11,11,0,2290.213668,97,97,96,143785,75364,144817,1683.639694,0.011625981,0.011709425,11.27494789,1694.914642,590.9029856,3.213637829,2285.817627,1.182402611
35,250000,4,8,2,0.7,Optimal,1,10,10,0,2814.069064,93,93,92,158449,67900,159377,1889.751311,0.011857114,0.011926559,12.54999723,1902.301308,908.108946,2.495643139,2810.410254,1.163166523
35,300000,4,8,0,0.7,TimeLimit,0,35,12,0.657142857,3600.295892,128,128,127,186717,91457,188218,2712.015304,0.014408905,0.014524737,14.68516792,2726.700472,863.4201223,8.34688139,3590.120595,1.828416348
35,300000,4,8,1,0.7,Optimal,1,11,11,0,3180.495749,131,131,130,177460,78105,178750,2480.793465,0.013878565,0.013979452,14.10389164,2494.897356,678.3011001,5.519856691,3173.198456,1.77743578
35,300000,4,8,2,0.7,TimeLimit,0,35,9,0.742857143,3600.16022,84,84,83,156079,69265,156953,2546.091669,0.016222001,0.016312839,16.76164694,2562.853316,1033.443711,2.463382483,3596.297026,1.399811029
20,100000,4,8,0,0.7,Optimal,1,8,8,0,10.90099144,60,60,59,2247,326,2613,7.207779305,0.002758431,0.003207734,0.099102331,7.306881636,3.208750039,0.246590614,10.51563168,0.13876915
20,100000,4,8,1,0.7,Optimal,1,5,5,0,2.492772579,16,16,15,528,470,625,1.689089661,0.002702543,0.003199033,0.023123214,1.712212875,0.733611271,0.014991999,2.445824146,0.031956434
20,100000,4,8,2,0.7,Optimal,1,7,7,0,13.11775541,48,48,47,2516,905,2849,8.518283224,0.00298992,0.003385645,0.120441709,8.638724932,4.255086293,0.114984035,12.89381123,0.108960152
20,150000,4,8,0,0.7,Optimal,1,8,8,0,13.04011369,51,51,50,1981,445,2295,9.59188316,0.00417947,0.00484194,0.089437136,9.681320297,3.04673232,0.160748482,12.72805262,0.15131259
20,150000,4,8,1,0.7,Optimal,1,5,5,0,3.432772398,16,16,15,547,735,652,2.61706524,0.004013904,0.004784397,0.023789866,2.640855106,0.733201949,0.013789177,3.374057055,0.044926167
20,150000,4,8,2,0.7,Optimal,1,7,7,0,16.15589476,44,44,43,2354,920,2664,11.67651861,0.004383078,0.004960288,0.108074509,11.78459312,4.149580941,0.087219,15.93417406,0.134501696
20,200000,4,8,0,0.7,Optimal,1,8,8,0,17.69610119,59,59,58,2210,547,2552,14.15962017,0.005548441,0.006407068,0.102683613,14.26230378,2.998557137,0.218535185,17.26086092,0.216705084
20,200000,4,8,1,0.7,Optimal,1,5,5,0,4.821208477,18,18,17,618,709,727,3.934743816,0.005412302,0.006366899,0.028241429,3.962985246,0.779477628,0.015618086,4.742462873,0.063127518
20,200000,4,8,2,0.7,Optimal,1,7,7,0,26.54411817,59,59,58,3042,665,3457,20.17825158,0.005836926,0.006633219,0.144442612,20.3226942,5.835412132,0.15343523,26.15810633,0.232576609
20,250000,4,8,0,0.7,Optimal,1,8,8,0,27.67671895,73,73,72,2834,363,3277,22.62851082,0.006905252,0.007984654,0.130775163,22.75928599,4.262053668,0.334456205,27.02133965,0.32092309
20,250000,4,8,1,0.7,Optimal,1,5,5,0,5.206652403,17,17,16,554,522,649,4.346299872,0.006696918,0.007845307,0.025649499,4.371949371,0.744384829,0.014674902,5.1163342,0.075643301
20,250000,4,8,2,0.7,Optimal,1,7,7,0,26.42503905,50,50,49,2545,741,2897,21.33307313,0.00736385,0.008382347,0.122697202,21.45577033,4.616102379,0.11715126,26.07187271,0.236015081
20,300000,4,8,0,0.7,Optimal,1,8,8,0,29.98116899,69,69,68,2637,387,3071,25.48860727,0.008299774,0.009665759,0.12516843,25.6137757,3.708089147,0.296346426,29.32186484,0.362957716
20,300000,4,8,1,0.7,Optimal,1,5,5,0,5.775158167,17,17,16,528,526,616,4.970890891,0.008069628,0.009414566,0.024337297,4.995228188,0.682179315,0.015031099,5.677407503,0.082719564
20,300000,4,8,2,0.7,Optimal,1,7,7,0,25.05538511,42,42,41,2077,649,2373,21.00994892,0.00885375,0.010115527,0.100383684,21.1103326,3.649491437,0.070508003,24.75982404,0.225053072
25,100000,4,8,0,0.7,Optimal,1,9,9,0,44.12301421,84,84,83,8985,3220,9587,32.07601188,0.003345782,0.003569951,0.459675109,32.53568699,10.37350748,0.967491865,42.90919447,0.246327877
25,100000,4,8,1,0.7,Optimal,1,7,7,0,10.11645937,29,29,28,2142,2546,2351,7.464177324,0.003174895,0.003484677,0.108584873,7.572762197,2.398144538,0.073677063,9.970906734,0.071875572
25,100000,4,8,2,0.7,Optimal,1,9,9,0,95.51478124,107,107,106,20728,5162,21509,73.08581054,0.003397918,0.003525946,1.049790166,74.1356007,20.22399889,0.861477852,94.35959959,0.293703794
25,150000,4,8,0,0.7,Optimal,1,9,9,0,41.40001178,65,65,64,6211,2572,6713,33.40194686,0.004975711,0.005377869,0.323462931,33.72540979,6.912558984,0.542800188,40.63796878,0.219242811
25,150000,4,8,1,0.7,Optimal,1,7,7,0,22.99465346,44,44,43,3561,3112,3879,18.26212521,0.004707947,0.00512837,0.18468263,18.44680784,4.283418678,0.118402481,22.73022652,0.146024466
25,150000,4,8,2,0.7,Optimal,1,9,9,0,131.5965064,93,93,92,21121,3809,21777,111.6869265,0.005128664,0.005287956,1.127804659,112.8147312,17.84707161,0.572613239,130.6618028,0.362090349
25,200000,4,8,0,0.7,Optimal,1,9,9,0,52.1324594,62,62,61,6217,2384,6681,44.83305423,0.00671053,0.007211365,0.336693771,45.169748,6.289468357,0.40516448,51.45921636,0.268078566
25,200000,4,8,1,0.7,Optimal,1,7,7,0,23.88053679,37,37,36,2928,2461,3178,20.16417485,0.006344926,0.006886672,0.154274615,20.31844946,3.329010522,0.075060368,23.64745998,0.158016443
25,200000,4,8,2,0.7,Optimal,1,9,9,0,150.4466143,94,94,93,18711,4484,19439,132.1834813,0.006799912,0.00706448,0.993181476,133.1766628,16.14545529,0.691037178,149.322118,0.433459044
25,250000,4,8,0,0.7,Optimal,1,9,9,0,95.82429934,97,97,96,9311,2682,10029,83.53698535,0.008329543,0.00897186,0.491877597,84.02886294,10.2909093,1.007981062,94.31977224,0.49654603
25,250000,4,8,1,0.7,Optimal,1,7,7,0,25.70838666,35,35,34,2561,3034,2809,22.2433219,0.007918591,0.008685405,0.136392972,22.37971487,3.063718177,0.091066837,25.44343305,0.173886776
25,250000,4,8,2,0.7,Optimal,1,9,9,0,184.5176308,94,94,93,18618,5126,19266,164.365654,0.008531385,0.00882832,1.00875229,165.3744063,18.08687501,0.536538124,183.4612813,0.519811392
25,300000,4,8,0,0.7,Optimal,1,9,9,0,87.68074703,73,73,72,7230,2706,7799,77.81648434,0.009977752,0.010762999,0.388264544,78.20474888,8.440462099,0.587920427,86.64521098,0.447615623
25,300000,4,8,1,0.7,Optimal,1,7,7,0,28.94129038,30,30,29,2465,3007,2685,25.62756725,0.009544718,0.010396579,0.133235678,25.76080292,2.924718916,0.077025414,28.68552184,0.178743124
25,300000,4,8,2,0.7,Optimal,1,9,9,0,206.534781,86,86,85,17544,4577,18182,186.8749419,0.010278019,0.010651786,0.939408775,187.8143506,17.66905447,0.472779989,205.4834051,0.578595877
