I,J,r1,r2,seed,sensitivity,is_baseline,beta,b,budget_ratio,D0,target,status,solved,time,obj,bound,gap,gap_pct,benders_cuts,max_bb_nodes,outer_iters,follower_solves,vf_cuts
25,10000,4,8,0,beta,0,0.6,5,0.2,14966.71553,8980.029321,Optimal,1,17.98635435,12,12,0,0,8364,1665,97,97,96
25,10000,4,8,0,baseline,1,0.7,5,0.2,14966.71553,10476.70087,Optimal,1,13.66404653,9,9,0,0,7722,2206,81,81,80
25,10000,4,8,0,beta,0,0.8,5,0.2,14966.71553,11973.37243,Optimal,1,12.07078648,7,7,0,0,7035,2955,87,87,86
25,10000,4,8,0,beta,0,0.9,5,0.2,14966.71553,13470.04398,Optimal,1,2.404775381,3,3,0,0,1475,2862,17,17,16
25,10000,4,8,0,budget,0,0.7,7,0.28,17927.57306,12549.30114,Optimal,1,36.78775072,5,5,0,0,12905,9633,26,26,25
25,10000,4,8,0,budget,0,0.7,12,0.48,17927.57306,12549.30114,Optimal,1,40.66789794,5,5,0,0,12549,42836,20,20,19
25,10000,4,8,0,budget,0,0.7,17,0.68,17927.57306,12549.30114,Optimal,1,45.67396522,5,5,0,0,11269,33772,14,14,13
25,10000,4,8,1,beta,0,0.6,5,0.2,15164.74218,9098.845305,Optimal,1,9.39799428,10,10,0,0,3965,1837,52,52,51
25,10000,4,8,1,baseline,1,0.7,5,0.2,15164.74218,10615.31952,Optimal,1,4.989866734,7,7,0,0,2653,3030,34,34,33
25,10000,4,8,1,beta,0,0.8,5,0.2,15164.74218,12131.79374,Optimal,1,4.889760256,5,5,0,0,2322,2304,42,42,41
25,10000,4,8,1,beta,0,0.9,5,0.2,15164.74218,13648.26796,Optimal,1,1.678964615,3,3,0,0,824,1000,15,15,14
25,10000,4,8,1,budget,0,0.7,7,0.28,16485.71297,11539.99908,Optimal,1,61.93736768,7,7,0,0,27766,11859,50,50,49
25,10000,4,8,1,budget,0,0.7,12,0.48,16485.71297,11539.99908,Optimal,1,124.1621315,7,7,0,0,30952,61035,45,45,44
25,10000,4,8,1,budget,0,0.7,17,0.68,16485.71297,11539.99908,Optimal,1,119.0019724,7,7,0,0,30320,63405,50,50,49
25,10000,4,8,2,beta,0,0.6,5,0.2,14765.85545,8859.513268,Optimal,1,5.66966486,10,10,0,0,3181,3226,24,24,23
25,10000,4,8,2,baseline,1,0.7,5,0.2,14765.85545,10336.09881,Optimal,1,31.93652868,9,9,0,0,19386,4818,102,102,101
25,10000,4,8,2,beta,0,0.8,5,0.2,14765.85545,11812.68436,Optimal,1,20.71084428,7,7,0,0,13563,4951,71,71,70
25,10000,4,8,2,beta,0,0.9,5,0.2,14765.85545,13289.2699,Optimal,1,8.1787889,4,4,0,0,5788,6645,24,24,23
25,10000,4,8,2,budget,0,0.7,7,0.28,16531.3116,11571.91812,Optimal,1,141.0475605,7,7,0,0,49602,16500,62,62,61
25,10000,4,8,2,budget,0,0.7,12,0.48,16531.3116,11571.91812,Optimal,1,206.1653559,7,7,0,0,59634,48702,69,69,68
25,10000,4,8,2,budget,0,0.7,17,0.68,16531.3116,11571.91812,Optimal,1,173.1519704,7,7,0,0,44603,93879,48,48,47
