I,J,r1,r2,seed,sensitivity,is_baseline,beta,b,budget_ratio,D0,target,status,solved,time,obj,bound,gap,gap_pct,benders_cuts,max_bb_nodes,outer_iters,follower_solves,vf_cuts
25,10000,4,8,0,beta,0,0.6,5,0.2,14966.71553484351,8980.029320906106,Optimal,1,434.439537525177,11.0,11.0,0.0,0.0,81263,3287.0,1026,1026,1025
25,10000,4,8,0,baseline,1,0.7,5,0.2,14966.71553484351,10476.700874390457,Optimal,1,86.56739568710327,9.0,9.0,0.0,0.0,27768,3287.0,329,329,328
25,10000,4,8,0,beta,0,0.8,5,0.2,14966.71553484351,11973.372427874809,Optimal,1,31.323104858398438,7.0,7.0,0.0,0.0,11771,3287.0,144,144,143
25,10000,4,8,0,beta,0,0.9,5,0.2,14966.71553484351,13470.043981359158,Optimal,1,3.082850694656372,3.0,3.0,0.0,0.0,1187,2464.0,17,17,16
25,10000,4,8,0,budget,0,0.7,7,0.28,17927.573059665898,12549.301141766127,Optimal,1,92.85169768333435,4.0,4.0,0.0,0.0,34355,11939.0,76,76,75
25,10000,4,8,0,budget,0,0.7,12,0.48,15467.217163652878,10827.052014557014,TimeLimit,0,3600.0526823997498,25.0,2.0,0.92,92.0,148259,238071.0,13,13,12
25,10000,4,8,0,budget,0,0.7,17,0.68,12888.010853269538,9021.607597288676,TimeLimit,0,3600.1247837543488,25.0,2.0,0.92,92.0,523918,183164.0,91,91,90
25,10000,4,8,1,beta,0,0.6,5,0.2,15164.74217570412,9098.845305422472,Optimal,1,156.08376288414001,9.0,9.0,0.0,0.0,35130,3171.0,483,483,482
25,10000,4,8,1,baseline,1,0.7,5,0.2,15164.74217570412,10615.319522992882,Optimal,1,53.22723913192749,7.0,7.0,0.0,0.0,14580,2809.0,212,212,211
25,10000,4,8,1,beta,0,0.8,5,0.2,15164.74217570412,12131.793740563297,Optimal,1,14.265539646148682,5.0,5.0,0.0,0.0,4028,2151.0,69,69,68
25,10000,4,8,1,beta,0,0.9,5,0.2,15164.74217570412,13648.267958133707,Optimal,1,2.9315059185028076,3.0,3.0,0.0,0.0,795,1305.0,15,15,14
25,10000,4,8,1,budget,0,0.7,7,0.28,16485.712971738652,11539.999080217056,Optimal,1,480.2602505683899,6.0,6.0,0.0,0.0,253141,12183.0,480,480,479
25,10000,4,8,1,budget,0,0.7,12,0.48,14741.077301666613,10318.754111166629,TimeLimit,0,3600.148574113846,25.0,2.0,0.92,92.0,130300,233248.0,16,16,15
25,10000,4,8,1,budget,0,0.7,17,0.68,12318.152401284102,8622.706680898871,Optimal,1,1621.050832271576,3.0,3.0,0.0,0.0,566980,100753.0,446,446,445
25,10000,4,8,2,beta,0,0.6,5,0.2,14765.855446909556,8859.513268145733,Optimal,1,321.6120252609253,10.0,10.0,0.0,0.0,103347,5691.0,726,726,725
25,10000,4,8,2,baseline,1,0.7,5,0.2,14765.855446909556,10336.098812836688,Optimal,1,123.06434679031372,9.0,9.0,0.0,0.0,56021,5691.0,344,344,343
25,10000,4,8,2,beta,0,0.8,5,0.2,14765.855446909556,11812.684357527645,Optimal,1,43.3811411857605,7.0,7.0,0.0,0.0,22870,5691.0,128,128,127
25,10000,4,8,2,beta,0,0.9,5,0.2,14765.855446909556,13289.2699022186,Optimal,1,8.756388902664185,4.0,4.0,0.0,0.0,5395,5691.0,24,24,23
25,10000,4,8,2,budget,0,0.7,7,0.28,16531.311601881607,11571.918121317125,Optimal,1,889.3618786334991,6.0,6.0,0.0,0.0,319697,28028.0,318,318,317
25,10000,4,8,2,budget,0,0.7,12,0.48,14579.469687791248,10205.628781453874,TimeLimit,0,3600.0819771289825,25.0,2.0,0.92,92.0,221242,169502.0,31,31,30
25,10000,4,8,2,budget,0,0.7,17,0.68,12267.571754984805,8587.300228489363,Optimal,1,3300.0624706745148,4.0,4.0,0.0,0.0,1682720,67753.0,1601,1601,1600
